"GEO_ID","NAME","B27001I_001E","B27001I_001EA","B27001I_001M","B27001I_001MA","B27001I_002E","B27001I_002M","B27001I_002MA","B27001I_002EA","B27001I_003E","B27001I_003EA","B27001I_003M","B27001I_003MA","B27001I_004E","B27001I_004EA","B27001I_004M","B27001I_004MA","B27001I_005E","B27001I_005EA","B27001I_005M","B27001I_005MA","B27001I_006E","B27001I_006EA","B27001I_006M","B27001I_006MA","B27001I_007E","B27001I_007EA","B27001I_007M","B27001I_007MA","B27001I_008E","B27001I_008EA","B27001I_008M","B27001I_008MA","B27001I_009E","B27001I_009EA","B27001I_009M","B27001I_009MA","B27001I_010E","B27001I_010EA","B27001I_010M","B27001I_010MA","B27001I_011E","B27001I_011EA","B27001I_011M","B27001I_011MA","B27001I_012E","B27001I_012EA","B27001I_012M","B27001I_012MA","B27001I_013E","B27001I_013M","B27001I_013MA","B27001I_013EA","B27001I_014E","B27001I_014EA","B27001I_014M","B27001I_014MA","B27001I_015E","B27001I_015EA","B27001I_015M","B27001I_015MA","B27001I_016E","B27001I_016EA","B27001I_016M","B27001I_016MA","B27001I_017E","B27001I_017EA","B27001I_017M","B27001I_017MA","B27001I_018E","B27001I_018EA","B27001I_018M","B27001I_018MA","B27001I_019E","B27001I_019EA","B27001I_019M","B27001I_019MA","B27001I_020E","B27001I_020EA","B27001I_020M","B27001I_020MA","B27001I_021E","B27001I_021EA","B27001I_021M","B27001I_021MA","B27001I_022E","B27001I_022EA","B27001I_022M","B27001I_022MA","B27001I_023E","B27001I_023EA","B27001I_023M","B27001I_023MA","B27001I_024E","B27001I_024M","B27001I_024MA","B27001I_024EA","B27001I_025E","B27001I_025EA","B27001I_025M","B27001I_025MA","B27001I_026E","B27001I_026EA","B27001I_026M","B27001I_026MA","B27001I_027E","B27001I_027EA","B27001I_027M","B27001I_027MA","B27001I_028E","B27001I_028EA","B27001I_028M","B27001I_028MA",
"0500000US48213","Henderson County, Texas","11148","null","127","null","851","406","null","null","371","null","428","null","480","null","526","null","3627","null","579","null","2876","null","903","null","751","null","559","null","1300","null","495","null","782","null","468","null","518","null","464","null","1209","null","675","null","523","null","438","null","686","735","null","null","1251","null","519","null","754","null","433","null","497","null","373","null","1212","null","691","null","470","null","276","null","742","null","560","null","659","null","485","null","533","null","434","null","126","null","203","null","720","null","453","null","720","453","null","null","0","null","234","null","319","null","233","null","319","null","233","null","0","null","234","null",
"0500000US48215","Hidalgo County, Texas","796815","null","1285","null","84779","1916","null","null","75772","null","2952","null","9007","null","2622","null","196948","null","2559","null","157440","null","5721","null","39508","null","5430","null","91026","null","3285","null","37596","null","3478","null","53430","null","3396","null","94786","null","2478","null","45066","null","4666","null","49720","4938","null","null","100762","null","557","null","50275","null","5014","null","50487","null","5155","null","89038","null","289","null","48770","null","3761","null","40268","null","3725","null","65028","null","267","null","42250","null","2848","null","22778","null","2862","null","44139","null","338","null","41872","1080","null","null","2267","null","1016","null","30309","null","415","null","28056","null","1466","null","2253","null","1407","null",
"0500000US48231","Hunt County, Texas","17275","null","123","null","1934","157","null","null","1764","null","256","null","170","null","197","null","5133","null","489","null","4597","null","738","null","536","null","534","null","2497","null","474","null","2179","null","466","null","318","null","407","null","1737","null","740","null","938","null","454","null","799","550","null","null","2337","null","649","null","1534","null","656","null","803","null","588","null","1651","null","755","null","780","null","432","null","871","null","701","null","1229","null","342","null","686","null","304","null","543","null","309","null","134","null","197","null","134","197","null","null","0","null","234","null","623","null","392","null","623","null","392","null","0","null","234","null",
"0500000US48245","Jefferson County, Texas","53150","null","919","null","6987","842","null","null","6155","null","594","null","832","null","709","null","13105","null","1144","null","9385","null","1408","null","3720","null","1358","null","5435","null","669","null","2265","null","807","null","3170","null","886","null","7764","null","433","null","2884","null","1047","null","4880","1102","null","null","7590","null","294","null","2293","null","761","null","5297","null","761","null","5348","null","377","null","2990","null","699","null","2358","null","682","null","4861","null","438","null","2506","null","1093","null","2355","null","1080","null","1249","null","422","null","1249","422","null","null","0","null","234","null","811","null","386","null","340","null","424","null","471","null","346","null",
"0500000US48251","Johnson County, Texas","39024","null","421","null","5043","653","null","null","4903","null","681","null","140","null","186","null","9379","null","743","null","8667","null","1147","null","712","null","708","null","4397","null","578","null","3507","null","801","null","890","null","599","null","5643","null","443","null","3371","null","849","null","2272","766","null","null","5124","null","286","null","3225","null","1124","null","1899","null","1143","null","4454","null","107","null","3733","null","507","null","721","null","487","null","3018","null","656","null","2462","null","775","null","556","null","487","null","780","null","502","null","780","502","null","null","0","null","234","null","1186","null","802","null","1186","null","802","null","0","null","234","null",
"0500000US48257","Kaufman County, Texas","31590","null","131","null","4125","529","null","null","4069","null","541","null","56","null","84","null","8604","null","972","null","7012","null","993","null","1592","null","1379","null","3762","null","857","null","3015","null","971","null","747","null","546","null","3957","null","716","null","2479","null","1032","null","1478","608","null","null","4864","null","2","null","3544","null","672","null","1320","null","672","null","3281","null","132","null","2446","null","461","null","835","null","473","null","1049","null","508","null","594","null","326","null","455","null","345","null","1460","null","599","null","1460","599","null","null","0","null","234","null","488","null","386","null","488","null","386","null","0","null","234","null",
"0500000US48291","Liberty County, Texas","23125","null","618","null","2620","2","null","null","1013","null","823","null","1607","null","823","null","7577","null","366","null","6085","null","970","null","1492","null","997","null","2674","null","852","null","1314","null","932","null","1360","null","764","null","2552","null","1110","null","1097","null","721","null","1455","785","null","null","2615","null","959","null","815","null","564","null","1800","null","889","null","2469","null","1094","null","1113","null","956","null","1356","null","991","null","1221","null","737","null","706","null","400","null","515","null","476","null","445","null","330","null","445","330","null","null","0","null","234","null","952","null","706","null","556","null","545","null","396","null","577","null",
"0500000US48303","Lubbock County, Texas","111511","null","494","null","10721","638","null","null","9153","null","1190","null","1568","null","1064","null","26722","null","1107","null","24543","null","1403","null","2179","null","1111","null","15644","null","1027","null","12722","null","1315","null","2922","null","899","null","16513","null","783","null","11530","null","1631","null","4983","1400","null","null","14137","null","150","null","9485","null","1759","null","4652","null","1745","null","10691","null","78","null","8618","null","981","null","2073","null","981","null","9045","null","79","null","8325","null","427","null","720","null","419","null","5106","null","110","null","5106","110","null","null","0","null","234","null","2932","null","14","null","2932","null","14","null","0","null","234","null",
"0500000US48309","McLennan County, Texas","67973","null","450","null","7767","505","null","null","7426","null","683","null","341","null","473","null","18022","null","738","null","15976","null","1358","null","2046","null","1213","null","8672","null","904","null","5858","null","1057","null","2814","null","934","null","8794","null","751","null","6878","null","894","null","1916","696","null","null","8552","null","192","null","4900","null","1036","null","3652","null","1000","null","6815","null","7","null","5059","null","696","null","1756","null","695","null","5166","null","60","null","4071","null","583","null","1095","null","582","null","2496","null","449","null","2496","449","null","null","0","null","234","null","1689","null","438","null","1689","null","438","null","0","null","234","null",
"0500000US48329","Midland County, Texas","81169","null","313","null","9004","784","null","null","7196","null","1490","null","1808","null","1504","null","20445","null","1315","null","11952","null","3329","null","8493","null","3574","null","8039","null","1564","null","6197","null","1500","null","1842","null","908","null","13613","null","1080","null","10682","null","2060","null","2931","1841","null","null","11659","null","157","null","8136","null","1759","null","3523","null","1815","null","8296","null","2","null","6055","null","1290","null","2241","null","1290","null","5851","null","234","null","5256","null","577","null","595","null","577","null","2404","null","665","null","2404","665","null","null","0","null","234","null","1858","null","665","null","1858","null","665","null","0","null","234","null",
