"GEO_ID","NAME","B27001H_001E","B27001H_001EA","B27001H_001M","B27001H_001MA","B27001H_002E","B27001H_002EA","B27001H_002M","B27001H_002MA","B27001H_003E","B27001H_003EA","B27001H_003M","B27001H_003MA","B27001H_004E","B27001H_004EA","B27001H_004M","B27001H_004MA","B27001H_005E","B27001H_005EA","B27001H_005M","B27001H_005MA","B27001H_006E","B27001H_006EA","B27001H_006M","B27001H_006MA","B27001H_007E","B27001H_007EA","B27001H_007M","B27001H_007MA","B27001H_008E","B27001H_008M","B27001H_008MA","B27001H_008EA","B27001H_009E","B27001H_009EA","B27001H_009M","B27001H_009MA","B27001H_010E","B27001H_010EA","B27001H_010M","B27001H_010MA","B27001H_011E","B27001H_011EA","B27001H_011M","B27001H_011MA","B27001H_012E","B27001H_012EA","B27001H_012M","B27001H_012MA","B27001H_013E","B27001H_013EA","B27001H_013M","B27001H_013MA","B27001H_014E","B27001H_014EA","B27001H_014M","B27001H_014MA","B27001H_015E","B27001H_015EA","B27001H_015M","B27001H_015MA","B27001H_016E","B27001H_016EA","B27001H_016M","B27001H_016MA","B27001H_017E","B27001H_017EA","B27001H_017M","B27001H_017MA","B27001H_018E","B27001H_018EA","B27001H_018M","B27001H_018MA","B27001H_019E","B27001H_019M","B27001H_019MA","B27001H_019EA","B27001H_020E","B27001H_020EA","B27001H_020M","B27001H_020MA","B27001H_021E","B27001H_021EA","B27001H_021M","B27001H_021MA","B27001H_022E","B27001H_022EA","B27001H_022M","B27001H_022MA","B27001H_023E","B27001H_023EA","B27001H_023M","B27001H_023MA","B27001H_024E","B27001H_024EA","B27001H_024M","B27001H_024MA","B27001H_025E","B27001H_025EA","B27001H_025M","B27001H_025MA","B27001H_026E","B27001H_026EA","B27001H_026M","B27001H_026MA","B27001H_027E","B27001H_027EA","B27001H_027M","B27001H_027MA","B27001H_028E","B27001H_028EA","B27001H_028M","B27001H_028MA",
"0500000US12109","St. Johns County, Florida","214836","null","1136","null","12448","null","1364","null","10687","null","1595","null","1761","null","1378","null","32780","null","1577","null","30162","null","1797","null","2618","null","1035","null","14459","1388","null","null","11230","null","1547","null","3229","null","1173","null","16997","null","1286","null","13350","null","1760","null","3647","null","1343","null","26589","null","271","null","24527","null","1016","null","2062","null","1114","null","29598","null","307","null","27107","null","1165","null","2491","1117","null","null","32746","null","87","null","29993","null","1376","null","2753","null","1378","null","29759","null","92","null","29453","null","418","null","306","null","394","null","19460","null","161","null","19460","null","161","null","0","null","234","null",
"0500000US12111","St. Lucie County, Florida","181624","null","1188","null","8286","null","714","null","7496","null","898","null","790","null","611","null","17316","null","937","null","16377","null","1097","null","939","null","582","null","10558","1004","null","null","7598","null","1065","null","2960","null","1084","null","16595","null","1037","null","12534","null","1700","null","4061","null","1636","null","16313","null","695","null","12696","null","1246","null","3617","null","1189","null","21157","null","172","null","18130","null","925","null","3027","923","null","null","30233","null","179","null","27307","null","1034","null","2926","null","1017","null","32273","null","212","null","32143","null","298","null","130","null","215","null","28893","null","125","null","28757","null","255","null","136","null","223","null",
"0500000US12113","Santa Rosa County, Florida","146584","null","1194","null","9360","null","491","null","8320","null","895","null","1040","null","588","null","23545","null","746","null","21878","null","1293","null","1667","null","1174","null","10273","952","null","null","8118","null","1081","null","2155","null","954","null","16511","null","840","null","12637","null","1686","null","3874","null","1692","null","17597","null","604","null","16072","null","963","null","1525","null","821","null","19865","null","366","null","18056","null","655","null","1809","654","null","null","22496","null","187","null","18599","null","1679","null","3897","null","1672","null","16584","null","85","null","16434","null","267","null","150","null","251","null","10353","null","186","null","10353","null","186","null","0","null","234","null",
"0500000US12115","Sarasota County, Florida","355197","null","945","null","11583","null","614","null","10573","null","1087","null","1010","null","940","null","31274","null","889","null","29024","null","1346","null","2250","null","1195","null","17888","1310","null","null","13753","null","1851","null","4135","null","1503","null","23514","null","1170","null","15660","null","1818","null","7854","null","1853","null","26116","null","275","null","20807","null","1533","null","5309","null","1518","null","36880","null","155","null","30040","null","2202","null","6840","2222","null","null","58952","null","328","null","52779","null","1532","null","6173","null","1558","null","74793","null","194","null","74413","null","538","null","380","null","472","null","74197","null","544","null","74103","null","582","null","94","null","164","null",
"0500000US12117","Seminole County, Florida","273667","null","2151","null","14372","null","907","null","13832","null","955","null","540","null","491","null","36634","null","1183","null","34287","null","2045","null","2347","null","1555","null","20152","1137","null","null","18475","null","1280","null","1677","null","749","null","32765","null","950","null","28796","null","1348","null","3969","null","1068","null","34804","null","313","null","31691","null","1454","null","3113","null","1444","null","38360","null","1043","null","34936","null","1376","null","3424","1052","null","null","42411","null","234","null","38733","null","1027","null","3678","null","1027","null","32052","null","223","null","32052","null","223","null","0","null","234","null","22117","null","325","null","22062","null","331","null","55","null","91","null",
"0500000US12119","Sumter County, Florida","108463","null","1511","null","1864","null","270","null","1864","null","270","null","0","null","234","null","4894","null","632","null","4335","null","637","null","559","null","470","null","1889","914","null","null","1218","null","701","null","671","null","652","null","2881","null","1054","null","2283","null","1055","null","598","null","506","null","4363","null","596","null","2786","null","650","null","1577","null","659","null","4205","null","1526","null","3943","null","1006","null","262","607","null","null","15268","null","245","null","13537","null","970","null","1731","null","940","null","40442","null","212","null","40442","null","212","null","0","null","234","null","32657","null","109","null","32657","null","109","null","0","null","234","null",
"0500000US12127","Volusia County, Florida","386493","null","800","null","17016","null","758","null","15668","null","944","null","1348","null","873","null","42428","null","868","null","37433","null","1556","null","4995","null","1508","null","24845","1491","null","null","21111","null","2081","null","3734","null","1467","null","36071","null","1306","null","26722","null","1873","null","9349","null","1889","null","36373","null","288","null","28840","null","1576","null","7533","null","1526","null","47171","null","114","null","38495","null","1468","null","8676","1468","null","null","67581","null","262","null","59143","null","1656","null","8438","null","1607","null","65156","null","228","null","64593","null","646","null","563","null","628","null","49852","null","549","null","49818","null","551","null","34","null","55","null",
"0500000US12131","Walton County, Florida","61208","null","494","null","3924","null","571","null","3843","null","557","null","81","null","142","null","8157","null","773","null","7791","null","795","null","366","null","255","null","3629","708","null","null","2977","null","881","null","652","null","511","null","5947","null","701","null","4209","null","863","null","1738","null","734","null","7352","null","106","null","7180","null","243","null","172","null","223","null","8093","null","67","null","6750","null","584","null","1343","584","null","null","10545","null","85","null","9034","null","786","null","1511","null","773","null","8570","null","61","null","8570","null","61","null","0","null","234","null","4991","null","227","null","4991","null","227","null","0","null","234","null",
"0500000US13013","Barrow County, Georgia","57594","null","280","null","4383","null","467","null","4248","null","489","null","135","null","155","null","9534","null","598","null","8777","null","753","null","757","null","490","null","4315","525","null","null","3807","null","584","null","508","null","332","null","7568","null","442","null","5867","null","732","null","1701","null","608","null","7857","null","234","null","6063","null","769","null","1794","null","769","null","7755","null","234","null","5800","null","644","null","1955","644","null","null","7427","null","185","null","6809","null","415","null","618","null","360","null","5443","null","25","null","5443","null","25","null","0","null","234","null","3312","null","92","null","3312","null","92","null","0","null","234","null",
"0500000US13015","Bartow County, Georgia","82339","null","343","null","5551","null","560","null","5370","null","598","null","181","null","218","null","12858","null","812","null","11871","null","754","null","987","null","773","null","7191","1007","null","null","6149","null","1160","null","1042","null","582","null","9457","null","813","null","7504","null","1063","null","1953","null","892","null","9965","null","69","null","8304","null","873","null","1661","null","875","null","12081","null","26","null","9229","null","869","null","2852","868","null","null","11831","null","138","null","10924","null","521","null","907","null","498","null","8322","null","165","null","8322","null","165","null","0","null","234","null","5083","null","77","null","5083","null","77","null","0","null","234","null",
"0500000US13021","Bibb County, Georgia","56562","null","370","null","2990","null","167","null","2797","null","288","null","193","null","231","null","7195","null","382","null","7031","null","427","null","164","null","201","null","5060","473","null","null","4369","null","700","null","691","null","467","null","6560","null","277","null","5062","null","705","null","1498","null","680","null","6103","null","81","null","4344","null","675","null","1759","null","672","null","7066","null","103","null","6114","null","390","null","952","397","null","null","8455","null","79","null","7745","null","403","null","710","null","396","null","7347","null","72","null","7347","null","72","null","0","null","234","null","5786","null","183","null","5786","null","183","null","0","null","234","null",
"0500000US13031","Bulloch County, Georgia","49797","null","414","null","3054","null","509","null","2976","null","541","null","78","null","141","null","7255","null","1290","null","6754","null","1250","null","501","null","452","null","10468","1306","null","null","10081","null","1357","null","387","null","343","null","5803","null","490","null","5323","null","586","null","480","null","428","null","5355","null","234","null","4319","null","565","null","1036","null","565","null","5409","null","75","null","4494","null","536","null","915","542","null","null","5600","null","73","null","4524","null","683","null","1076","null","674","null","4136","null","113","null","3880","null","392","null","256","null","378","null","2717","null","121","null","2717","null","121","null","0","null","234","null",
"0500000US13045","Carroll County, Georgia","82713","null","1654","null","5081","null","1388","null","5081","null","1388","null","0","null","234","null","12785","null","890","null","12668","null","939","null","117","null","204","null","9672","793","null","null","5994","null","1553","null","3678","null","1330","null","9790","null","701","null","8741","null","783","null","1049","null","579","null","9980","null","132","null","7649","null","1089","null","2331","null","1074","null","10861","null","68","null","7972","null","1026","null","2889","1031","null","null","10912","null","46","null","8930","null","767","null","1982","null","763","null","8126","null","169","null","8043","null","217","null","83","null","144","null","5506","null","139","null","5506","null","139","null","0","null","234","null",
"0500000US13047","Catoosa County, Georgia","60866","null","194","null","4121","null","540","null","3671","null","453","null","450","null","566","null","10215","null","978","null","9973","null","1178","null","242","null","336","null","4656","1161","null","null","3844","null","1103","null","812","null","551","null","5926","null","812","null","5000","null","762","null","926","null","457","null","7482","null","154","null","6631","null","610","null","851","null","610","null","8651","null","234","null","8289","null","287","null","362","287","null","null","8219","null","79","null","7664","null","400","null","555","null","394","null","6708","null","79","null","6708","null","79","null","0","null","234","null","4888","null","110","null","4888","null","110","null","0","null","234","null",
"0500000US13051","Chatham County, Georgia","133038","null","1403","null","8283","null","869","null","7578","null","1206","null","705","null","849","null","15091","null","1021","null","14515","null","1179","null","576","null","532","null","11668","1554","null","null","9190","null","1598","null","2478","null","1282","null","18069","null","1117","null","14235","null","1874","null","3834","null","1429","null","15754","null","574","null","12699","null","1600","null","3055","null","1538","null","16180","null","178","null","13346","null","1045","null","2834","1017","null","null","18818","null","514","null","16359","null","1075","null","2459","null","1015","null","17095","null","137","null","16604","null","475","null","491","null","473","null","12080","null","176","null","12080","null","176","null","0","null","234","null",
"0500000US13057","Cherokee County, Georgia","198572","null","2956","null","12729","null","831","null","12280","null","867","null","449","null","443","null","32899","null","2309","null","31116","null","2420","null","1783","null","927","null","14510","1113","null","null","12235","null","1405","null","2275","null","989","null","20497","null","1055","null","17627","null","1233","null","2870","null","1075","null","25305","null","889","null","22882","null","1334","null","2423","null","1115","null","30361","null","169","null","26983","null","1333","null","3378","1333","null","null","28656","null","234","null","24583","null","1400","null","4073","null","1400","null","21592","null","249","null","21592","null","249","null","0","null","234","null","12023","null","234","null","11945","null","269","null","78","null","137","null",
"0500000US13059","Clarke County, Georgia","69793","null","559","null","2676","null","284","null","2288","null","489","null","388","null","438","null","7680","null","857","null","7092","null","964","null","588","null","627","null","20727","852","null","null","18603","null","1346","null","2124","null","992","null","10207","null","528","null","9145","null","553","null","1062","null","410","null","7067","null","128","null","6231","null","459","null","836","null","437","null","5665","null","73","null","5371","null","267","null","294","256","null","null","6059","null","72","null","5409","null","440","null","650","null","438","null","5875","null","234","null","5875","null","234","null","0","null","234","null","3837","null","161","null","3837","null","161","null","0","null","234","null",
"0500000US13063","Clayton County, Georgia","25824","null","357","null","1356","null","335","null","452","null","551","null","904","null","658","null","3073","null","697","null","2501","null","845","null","572","null","470","null","1058","610","null","null","368","null","327","null","690","null","573","null","2422","null","743","null","1179","null","435","null","1243","null","673","null","3582","null","609","null","2504","null","883","null","1078","null","730","null","1883","null","523","null","1594","null","500","null","289","233","null","null","4617","null","234","null","4388","null","254","null","229","null","254","null","4438","null","99","null","4438","null","99","null","0","null","234","null","3395","null","23","null","3395","null","23","null","0","null","234","null",
"0500000US13067","Cobb County, Georgia","382735","null","3090","null","22364","null","1203","null","21283","null","1388","null","1081","null","731","null","54496","null","1639","null","51818","null","1620","null","2678","null","1090","null","28890","1590","null","null","25716","null","1698","null","3174","null","1284","null","44889","null","1364","null","38309","null","2137","null","6580","null","2073","null","48505","null","524","null","41667","null","1806","null","6838","null","1771","null","54254","null","899","null","49633","null","1842","null","4621","1470","null","null","57663","null","554","null","52482","null","1807","null","5181","null","1777","null","44115","null","263","null","44115","null","263","null","0","null","234","null","27559","null","369","null","27559","null","369","null","0","null","234","null",
"0500000US13073","Columbia County, Georgia","104276","null","697","null","7995","null","897","null","7931","null","912","null","64","null","117","null","18342","null","1146","null","17543","null","1259","null","799","null","730","null","6950","952","null","null","5650","null","1052","null","1300","null","767","null","12798","null","833","null","10985","null","1358","null","1813","null","1224","null","13655","null","349","null","12426","null","679","null","1229","null","680","null","13748","null","234","null","12923","null","675","null","825","675","null","null","13666","null","234","null","12228","null","787","null","1438","null","787","null","10567","null","94","null","10567","null","94","null","0","null","234","null","6555","null","94","null","6555","null","94","null","0","null","234","null",
"0500000US13077","Coweta County, Georgia","104015","null","616","null","6507","null","441","null","6329","null","443","null","178","null","220","null","18395","null","765","null","18230","null","839","null","165","null","225","null","7492","1132","null","null","6333","null","1222","null","1159","null","782","null","10834","null","829","null","9096","null","1063","null","1738","null","969","null","13236","null","71","null","11426","null","836","null","1810","null","823","null","15819","null","202","null","14246","null","1078","null","1573","1070","null","null","14819","null","105","null","13715","null","557","null","1104","null","530","null","10359","null","107","null","10227","null","188","null","132","null","148","null","6554","null","83","null","6554","null","83","null","0","null","234","null",
"0500000US13089","DeKalb County, Georgia","219890","null","902","null","14222","null","771","null","13755","null","936","null","467","null","479","null","25216","null","838","null","24275","null","965","null","941","null","523","null","16811","1626","null","null","16115","null","1520","null","696","null","377","null","32983","null","1450","null","29161","null","1773","null","3822","null","1023","null","33855","null","197","null","31316","null","773","null","2539","null","808","null","30472","null","443","null","28388","null","899","null","2084","830","null","null","27751","null","459","null","25047","null","1194","null","2704","null","1094","null","21553","null","190","null","21066","null","561","null","487","null","552","null","17027","null","257","null","16987","null","268","null","40","null","67","null",
"0500000US13095","Dougherty County, Georgia","20672","null","272","null","1580","null","361","null","1580","null","361","null","0","null","234","null","1814","null","484","null","1516","null","411","null","298","null","510","null","1481","544","null","null","848","null","482","null","633","null","459","null","2014","null","808","null","1804","null","807","null","210","null","269","null","1429","null","651","null","1127","null","623","null","302","null","380","null","2742","null","790","null","1988","null","741","null","754","504","null","null","3460","null","234","null","2666","null","518","null","794","null","518","null","3295","null","80","null","3295","null","80","null","0","null","234","null","2857","null","157","null","2764","null","215","null","93","null","155","null",
"0500000US13097","Douglas County, Georgia","54222","null","468","null","2686","null","264","null","2686","null","264","null","0","null","234","null","8249","null","490","null","7594","null","732","null","655","null","523","null","3512","535","null","null","3153","null","579","null","359","null","404","null","5830","null","745","null","4895","null","917","null","935","null","589","null","5888","null","718","null","4826","null","901","null","1062","null","777","null","8035","null","50","null","7168","null","709","null","867","705","null","null","8909","null","234","null","7451","null","913","null","1458","null","913","null","6648","null","121","null","6648","null","121","null","0","null","234","null","4465","null","201","null","4465","null","201","null","0","null","234","null",
"0500000US13113","Fayette County, Georgia","68948","null","234","null","3812","null","491","null","3645","null","507","null","167","null","145","null","11236","null","687","null","10979","null","709","null","257","null","292","null","5435","891","null","null","5161","null","906","null","274","null","319","null","4589","null","613","null","4284","null","618","null","305","null","200","null","7101","null","234","null","6395","null","470","null","706","null","470","null","9565","null","111","null","9106","null","300","null","459","286","null","null","11414","null","61","null","10344","null","590","null","1070","null","587","null","9306","null","31","null","9306","null","31","null","0","null","234","null","6490","null","189","null","6490","null","189","null","0","null","234","null",
"0500000US13115","Floyd County, Georgia","67718","null","670","null","4328","null","546","null","4280","null","546","null","48","null","82","null","10230","null","679","null","9560","null","817","null","670","null","499","null","6311","599","null","null","5263","null","1014","null","1048","null","836","null","6855","null","711","null","5256","null","907","null","1599","null","672","null","7606","null","217","null","5772","null","708","null","1834","null","711","null","8888","null","318","null","6847","null","917","null","2041","883","null","null","9685","null","87","null","8560","null","624","null","1125","null","600","null","8017","null","105","null","8017","null","105","null","0","null","234","null","5798","null","247","null","5743","null","265","null","55","null","90","null",
"0500000US13117","Forsyth County, Georgia","167423","null","579","null","9845","null","402","null","9060","null","640","null","785","null","472","null","33619","null","764","null","32787","null","1042","null","832","null","666","null","11504","770","null","null","10758","null","890","null","746","null","437","null","14059","null","570","null","12475","null","817","null","1584","null","569","null","21218","null","184","null","18817","null","828","null","2401","null","822","null","28829","null","149","null","27645","null","531","null","1184","509","null","null","22530","null","170","null","21056","null","695","null","1474","null","655","null","15428","null","113","null","15383","null","136","null","45","null","76","null","10391","null","159","null","10391","null","159","null","0","null","234","null",
"0500000US13121","Fulton County, Georgia","415906","null","1700","null","21235","null","880","null","20611","null","1069","null","624","null","463","null","52815","null","1708","null","51806","null","1823","null","1009","null","740","null","39847","2063","null","null","35659","null","3783","null","4188","null","3208","null","63580","null","1703","null","59454","null","2158","null","4126","null","1223","null","53881","null","736","null","51844","null","1052","null","2037","null","850","null","63779","null","380","null","61469","null","914","null","2310","807","null","null","58281","null","238","null","55665","null","962","null","2616","null","928","null","37324","null","84","null","37223","null","188","null","101","null","167","null","25164","null","615","null","24698","null","976","null","466","null","752","null",
"0500000US13127","Glynn County, Georgia","53569","null","432","null","2245","null","4","null","2003","null","270","null","242","null","270","null","7412","null","490","null","6747","null","812","null","665","null","674","null","3642","964","null","null","2979","null","925","null","663","null","471","null","4872","null","783","null","3224","null","632","null","1648","null","823","null","5776","null","79","null","4637","null","758","null","1139","null","736","null","6813","null","196","null","5396","null","835","null","1417","812","null","null","8596","null","234","null","7345","null","809","null","1251","null","809","null","8724","null","234","null","8556","null","279","null","168","null","279","null","5489","null","362","null","5489","null","362","null","0","null","234","null",
"0500000US13135","Gwinnett County, Georgia","326856","null","1754","null","20385","null","1169","null","19121","null","1284","null","1264","null","1138","null","50024","null","1587","null","46158","null","2637","null","3866","null","1846","null","23380","1296","null","null","18660","null","2603","null","4720","null","2095","null","35239","null","980","null","30106","null","1577","null","5133","null","1380","null","38935","null","314","null","35033","null","1431","null","3902","null","1386","null","46751","null","1115","null","41976","null","1882","null","4775","1381","null","null","53874","null","146","null","49247","null","1632","null","4627","null","1624","null","36979","null","168","null","36795","null","281","null","184","null","225","null","21289","null","609","null","21084","null","715","null","205","null","358","null",
"0500000US13139","Hall County, Georgia","122133","null","425","null","7470","null","692","null","7216","null","715","null","254","null","209","null","16498","null","799","null","15549","null","889","null","949","null","463","null","9194","732","null","null","7850","null","857","null","1344","null","677","null","12801","null","536","null","10199","null","883","null","2602","null","812","null","13616","null","234","null","11512","null","905","null","2104","null","905","null","17138","null","82","null","14552","null","990","null","2586","978","null","null","18564","null","82","null","16640","null","782","null","1924","null","786","null","15475","null","178","null","15475","null","178","null","0","null","234","null","11377","null","137","null","11377","null","137","null","0","null","234","null",
"0500000US13151","Henry County, Georgia","93359","null","343","null","5506","null","633","null","4914","null","768","null","592","null","603","null","15357","null","795","null","14994","null","860","null","363","null","390","null","8101","924","null","null","7598","null","1040","null","503","null","397","null","8934","null","840","null","7622","null","686","null","1312","null","851","null","10805","null","146","null","8681","null","999","null","2124","null","990","null","14030","null","234","null","12987","null","575","null","1043","575","null","null","13930","null","82","null","12430","null","841","null","1500","null","837","null","10113","null","67","null","10113","null","67","null","0","null","234","null","6583","null","88","null","6583","null","88","null","0","null","234","null",
"0500000US13153","Houston County, Georgia","82726","null","1202","null","4831","null","405","null","4603","null","530","null","228","null","274","null","13976","null","501","null","12534","null","1186","null","1442","null","1153","null","7843","990","null","null","6093","null","1246","null","1750","null","1257","null","8669","null","913","null","7946","null","979","null","723","null","457","null","10309","null","563","null","9279","null","751","null","1030","null","609","null","10666","null","306","null","8982","null","834","null","1684","790","null","null","12302","null","215","null","11659","null","504","null","643","null","472","null","8317","null","72","null","8317","null","72","null","0","null","234","null","5813","null","255","null","5813","null","255","null","0","null","234","null",
"0500000US13157","Jackson County, Georgia","57453","null","1072","null","4049","null","466","null","4024","null","466","null","25","null","43","null","10568","null","771","null","9710","null","930","null","858","null","737","null","2975","504","null","null","2534","null","548","null","441","null","293","null","7362","null","147","null","6225","null","658","null","1137","null","661","null","7641","null","331","null","7100","null","482","null","541","null","366","null","7979","null","257","null","6283","null","686","null","1696","655","null","null","7515","null","234","null","6703","null","465","null","812","null","465","null","5689","null","71","null","5676","null","76","null","13","null","26","null","3675","null","187","null","3675","null","187","null","0","null","234","null",
"0500000US13185","Lowndes County, Georgia","58125","null","1443","null","3958","null","325","null","3958","null","325","null","0","null","234","null","9992","null","770","null","9177","null","915","null","815","null","638","null","8327","1416","null","null","5915","null","1534","null","2412","null","1695","null","6582","null","847","null","4971","null","1107","null","1611","null","874","null","6079","null","707","null","4328","null","1018","null","1751","null","751","null","6698","null","279","null","6414","null","391","null","284","281","null","null","6999","null","111","null","5262","null","813","null","1737","null","811","null","5383","null","94","null","5383","null","94","null","0","null","234","null","4107","null","101","null","4107","null","101","null","0","null","234","null",
"0500000US13215","Muscogee County, Georgia","72598","null","992","null","6162","null","783","null","5962","null","830","null","200","null","232","null","10170","null","869","null","10170","null","869","null","0","null","234","null","6328","998","null","null","5515","null","917","null","813","null","670","null","8952","null","963","null","8263","null","1145","null","689","null","402","null","8829","null","388","null","6963","null","1168","null","1866","null","1210","null","8482","null","429","null","7696","null","572","null","786","484","null","null","9596","null","231","null","7404","null","827","null","2192","null","839","null","7643","null","160","null","7643","null","160","null","0","null","234","null","6436","null","234","null","6436","null","234","null","0","null","234","null",
"0500000US13217","Newton County, Georgia","48596","null","462","null","3687","null","643","null","3345","null","694","null","342","null","367","null","7120","null","796","null","5847","null","1015","null","1273","null","805","null","3720","591","null","null","3505","null","575","null","215","null","188","null","5616","null","343","null","3981","null","716","null","1635","null","806","null","5611","null","102","null","4222","null","711","null","1389","null","713","null","6914","null","234","null","5310","null","1055","null","1604","1055","null","null","6863","null","40","null","6067","null","340","null","796","null","343","null","5399","null","75","null","5314","null","176","null","85","null","158","null","3666","null","141","null","3666","null","141","null","0","null","234","null",
"0500000US13223","Paulding County, Georgia","114844","null","568","null","7943","null","502","null","7837","null","526","null","106","null","159","null","20332","null","711","null","19268","null","1058","null","1064","null","781","null","9594","1036","null","null","6447","null","1742","null","3147","null","1664","null","14007","null","866","null","12212","null","1190","null","1795","null","877","null","15457","null","97","null","14450","null","677","null","1007","null","671","null","17757","null","234","null","15566","null","1064","null","2191","1064","null","null","14681","null","83","null","12275","null","1783","null","2406","null","1782","null","9519","null","234","null","9481","null","71","null","38","null","71","null","5554","null","167","null","5554","null","167","null","0","null","234","null",
"0500000US13245","Richmond County, Georgia","62132","null","1203","null","4267","null","369","null","3899","null","537","null","368","null","394","null","8010","null","659","null","7709","null","692","null","301","null","212","null","5844","830","null","null","4460","null","1076","null","1384","null","960","null","7549","null","1048","null","6261","null","1079","null","1288","null","767","null","7004","null","264","null","5514","null","639","null","1490","null","636","null","7197","null","193","null","5854","null","737","null","1343","750","null","null","9163","null","200","null","7658","null","636","null","1505","null","623","null","7337","null","218","null","7337","null","218","null","0","null","234","null","5761","null","162","null","5761","null","162","null","0","null","234","null",
"0500000US13247","Rockdale County, Georgia","26006","null","222","null","794","null","566","null","794","null","566","null","0","null","234","null","3663","null","751","null","2584","null","1133","null","1079","null","922","null","1214","499","null","null","1062","null","522","null","152","null","198","null","2719","null","1119","null","1863","null","958","null","856","null","578","null","2027","null","660","null","928","null","685","null","1099","null","608","null","3165","null","677","null","2084","null","753","null","1081","522","null","null","5049","null","234","null","4350","null","563","null","699","null","563","null","4342","null","106","null","4342","null","106","null","0","null","234","null","3033","null","90","null","3033","null","90","null","0","null","234","null",
"0500000US13255","Spalding County, Georgia","37464","null","736","null","2370","null","471","null","2370","null","471","null","0","null","234","null","5929","null","698","null","5083","null","827","null","846","null","783","null","2422","613","null","null","1908","null","591","null","514","null","419","null","2521","null","959","null","1513","null","652","null","1008","null","576","null","5022","null","601","null","3674","null","700","null","1348","null","601","null","4766","null","197","null","4183","null","381","null","583","349","null","null","5539","null","234","null","4481","null","724","null","1058","null","724","null","5343","null","234","null","5343","null","234","null","0","null","234","null","3552","null","232","null","3552","null","232","null","0","null","234","null",
"0500000US13285","Troup County, Georgia","37536","null","888","null","2685","null","457","null","2581","null","502","null","104","null","180","null","5518","null","590","null","5290","null","652","null","228","null","294","null","3528","518","null","null","2638","null","605","null","890","null","545","null","4219","null","330","null","3126","null","479","null","1093","null","512","null","4126","null","576","null","3634","null","613","null","492","null","364","null","4590","null","485","null","3755","null","672","null","835","637","null","null","5426","null","82","null","4939","null","403","null","487","null","398","null","4395","null","26","null","4395","null","26","null","0","null","234","null","3049","null","267","null","3049","null","267","null","0","null","234","null",
"0500000US13295","Walker County, Georgia","61711","null","911","null","3831","null","365","null","3719","null","427","null","112","null","190","null","9919","null","605","null","8361","null","1806","null","1558","null","1680","null","4333","636","null","null","3866","null","767","null","467","null","518","null","6832","null","451","null","4815","null","861","null","2017","null","809","null","7478","null","426","null","5112","null","1148","null","2366","null","1144","null","8200","null","243","null","7137","null","665","null","1063","641","null","null","8913","null","168","null","7846","null","686","null","1067","null","690","null","6964","null","150","null","6964","null","150","null","0","null","234","null","5241","null","166","null","5241","null","166","null","0","null","234","null",
"0500000US13297","Walton County, Georgia","68530","null","503","null","4353","null","502","null","4066","null","527","null","287","null","274","null","11673","null","547","null","9870","null","905","null","1803","null","805","null","5153","601","null","null","4204","null","886","null","949","null","696","null","7318","null","504","null","6107","null","675","null","1211","null","578","null","8362","null","181","null","6527","null","648","null","1835","null","611","null","9990","null","88","null","8173","null","1002","null","1817","996","null","null","9417","null","234","null","7904","null","728","null","1513","null","728","null","7299","null","99","null","7217","null","173","null","82","null","141","null","4965","null","224","null","4965","null","224","null","0","null","234","null",
